post_id,timestamp,platform,post_type,content,sentiment,likes,shares,comments,reach,impressions,engagement_rate,date,hour,day_of_week,sentiment_score
45,2024-06-29 15:50:00,Twitter,Video,Great quality! Will buy again,Positive,796,338,78,26592,23194,4.56,2024-06-29,15,Saturday,1
46,2024-10-12 21:11:00,Facebook,Text,Testing this product,Neutral,925,43,94,15943,4465,6.66,2024-10-12,21,Saturday,0
47,2024-02-10 13:33:00,Facebook,Video,Low quality. Not satisfied,Negative,966,291,201,27252,5009,5.35,2024-02-10,13,Saturday,-1
48,2024-10-19 06:09:00,Twitter,Image,Best purchase ever! Highly recommend,Positive,1060,208,119,12833,77455,10.81,2024-10-19,6,Saturday,1
49,2024-05-05 20:03:00,Instagram,Image,Superb quality! Very happy,Positive,885,76,143,26187,3026,4.22,2024-05-05,20,Sunday,1
50,2024-05-09 15:04:00,LinkedIn,Video,Standard quality,Neutral,821,298,104,827,7834,147.88,2024-05-09,15,Thursday,0
51,2024-07-15 04:18:00,Instagram,Image,Best purchase ever! Highly recommend,Positive,969,256,50,48120,49082,2.65,2024-07-15,4,Monday,1
52,2024-09-27 17:23:00,Instagram,Text,Great quality! Will buy again,Positive,961,9,84,16908,89072,6.23,2024-09-27,17,Friday,1
53,2024-02-16 20:16:00,Instagram,Video,Best purchase ever! Highly recommend,Positive,1129,306,123,44209,64196,3.52,2024-02-16,20,Friday,1
54,2024-03-25 10:42:00,Instagram,Image,Excellent service! Very satisfied,Positive,1134,92,131,25052,78476,5.42,2024-03-25,10,Monday,1
55,2024-04-06 23:58:00,Instagram,Video,Terrible experience. Very disappointed,Negative,994,183,158,43608,10765,3.06,2024-04-06,23,Saturday,-1
56,2024-08-23 18:39:00,LinkedIn,Image,Superb quality! Very happy,Positive,204,50,138,39805,34136,0.98,2024-08-23,18,Friday,1
57,2024-07-04 23:22:00,Instagram,Text,Terrible customer service,Negative,789,261,140,31598,91623,3.77,2024-07-04,23,Thursday,-1
58,2024-01-27 12:02:00,Instagram,Link,Love this product! #amazing,Positive,775,209,52,26146,80011,3.96,2024-01-27,12,Saturday,1
59,2024-08-20 22:17:00,Facebook,Video,Terrible customer service,Negative,553,101,40,38208,70196,1.82,2024-08-20,22,Tuesday,-1
60,2024-07-12 02:16:00,Twitter,Text,Fantastic experience! Thank you,Positive,1314,71,137,4714,92141,32.29,2024-07-12,2,Friday,1
61,2024-02-20 02:24:00,LinkedIn,Text,Amazing product! Exceeded expectations,Positive,1290,3,30,32332,41207,4.09,2024-02-20,2,Tuesday,1
62,2024-03-20 06:28:00,Instagram,Text,Outstanding service! Five stars,Positive,165,15,77,4013,87984,6.4,2024-03-20,6,Wednesday,1
63,2024-02-12 22:57:00,Instagram,Link,Terrible experience. Very disappointed,Negative,652,160,98,2341,81187,38.87,2024-02-12,22,Monday,-1
64,2024-09-01 16:20:00,Instagram,Video,Excellent service! Very satisfied,Positive,748,306,131,30935,31212,3.83,2024-09-01,16,Sunday,1
65,2024-04-07 14:54:00,Facebook,Image,Great quality! Will buy again,Positive,1375,42,41,16804,96510,8.68,2024-04-07,14,Sunday,1
66,2024-03-12 08:16:00,Instagram,Image,Amazing product! Exceeded expectations,Positive,241,159,96,47451,45830,1.05,2024-03-12,8,Tuesday,1
67,2024-08-09 00:44:00,Twitter,Link,Bad service. Would not recommend,Negative,973,46,147,49745,54067,2.34,2024-08-09,0,Friday,-1
68,2024-03-04 08:39:00,Facebook,Video,Great quality! Will buy again,Positive,688,191,116,41250,49626,2.41,2024-03-04,8,Monday,1
69,2024-07-27 06:45:00,LinkedIn,Image,"It's okay, nothing special",Neutral,29,124,55,26678,8437,0.78,2024-07-27,6,Saturday,0
70,2024-04-13 20:35:00,Facebook,Link,Just received my order,Neutral,688,62,117,6465,5391,13.41,2024-04-13,20,Saturday,0
71,2024-01-26 11:08:00,Facebook,Text,Outstanding service! Five stars,Positive,157,261,23,23640,80545,1.87,2024-01-26,11,Friday,1
72,2024-01-12 12:15:00,LinkedIn,Link,Product arrived today,Neutral,283,79,142,40207,22798,1.25,2024-01-12,12,Friday,0
73,2024-08-27 22:37:00,LinkedIn,Video,Standard quality,Neutral,514,236,86,12182,35950,6.86,2024-08-27,22,Tuesday,0
74,2024-02-29 02:38:00,LinkedIn,Text,Outstanding service! Five stars,Positive,360,345,36,7474,36071,9.91,2024-02-29,2,Thursday,1
75,2024-05-02 01:34:00,Twitter,Video,Excellent service! Very satisfied,Positive,570,234,86,39416,48055,2.26,2024-05-02,1,Thursday,1
76,2024-02-07 03:42:00,Instagram,Link,Love this product! #amazing,Positive,709,354,128,48637,74436,2.45,2024-02-07,3,Wednesday,1
77,2024-04-25 05:44:00,LinkedIn,Image,Low quality. Not satisfied,Negative,762,116,33,34855,53036,2.61,2024-04-25,5,Thursday,-1
78,2024-08-30 12:49:00,Twitter,Video,Best purchase ever! Highly recommend,Positive,543,19,28,3689,44323,15.99,2024-08-30,12,Friday,1
79,2024-06-08 15:21:00,LinkedIn,Image,Superb quality! Very happy,Positive,1203,302,86,9568,32298,16.63,2024-06-08,15,Saturday,1
80,2024-01-04 23:09:00,TikTok,Text,Outstanding service! Five stars,Positive,1081,228,121,8594,65874,16.64,2024-01-04,23,Thursday,1
81,2024-08-09 03:40:00,Instagram,Text,Average experience,Neutral,718,155,135,31195,78394,3.23,2024-08-09,3,Friday,0
82,2024-07-01 07:22:00,LinkedIn,Link,Amazing product! Exceeded expectations,Positive,193,145,21,31035,39909,1.16,2024-07-01,7,Monday,1
83,2024-09-02 17:53:00,LinkedIn,Link,Amazing product! Exceeded expectations,Positive,597,352,66,37884,96351,2.68,2024-09-02,17,Monday,1
84,2024-09-04 04:17:00,Facebook,Video,Excellent service! Very satisfied,Positive,114,293,80,42036,86661,1.16,2024-09-04,4,Wednesday,1
85,2024-03-23 07:03:00,LinkedIn,Text,Bad service. Would not recommend,Negative,42,195,107,37767,32249,0.91,2024-03-23,7,Saturday,-1
86,2024-09-09 02:59:00,TikTok,Text,Great quality! Will buy again,Positive,238,171,17,24004,38305,1.77,2024-09-09,2,Monday,1
87,2024-03-17 23:20:00,TikTok,Image,Checking out this new item,Neutral,978,88,41,18572,9858,5.96,2024-03-17,23,Sunday,0
88,2024-02-29 02:54:00,Twitter,Image,Worst purchase ever. Total waste,Negative,703,110,70,38941,14507,2.27,2024-02-29,2,Thursday,-1
89,2024-05-03 21:56:00,Instagram,Link,Superb quality! Very happy,Positive,1354,234,44,48197,12474,3.39,2024-05-03,21,Friday,1
90,2024-01-26 14:28:00,Instagram,Text,Superb quality! Very happy,Positive,196,139,97,23392,10236,1.85,2024-01-26,14,Friday,1
91,2024-03-16 01:09:00,Instagram,Image,Great quality! Will buy again,Positive,1191,266,123,3460,76273,45.66,2024-03-16,1,Saturday,1
92,2024-01-21 18:30:00,LinkedIn,Text,Amazing product! Exceeded expectations,Positive,1197,208,94,14198,2030,10.56,2024-01-21,18,Sunday,1
93,2024-09-16 14:29:00,Facebook,Image,Love this product! #amazing,Positive,1095,122,25,13033,55275,9.53,2024-09-16,14,Monday,1
94,2024-02-17 16:27:00,TikTok,Text,Great quality! Will buy again,Positive,498,360,106,49730,26133,1.94,2024-02-17,16,Saturday,1
95,2024-01-26 14:30:00,TikTok,Text,Amazing product! Exceeded expectations,Positive,694,349,123,286,57777,407.69,2024-01-26,14,Friday,1
96,2024-04-12 21:29:00,Facebook,Text,Bad service. Would not recommend,Negative,722,243,103,30911,20432,3.46,2024-04-12,21,Friday,-1
97,2024-02-17 15:06:00,TikTok,Image,Terrible experience. Very disappointed,Negative,896,8,35,7381,33551,12.72,2024-02-17,15,Saturday,-1
98,2024-04-07 21:44:00,Twitter,Text,Love this product! #amazing,Positive,627,373,72,34780,92881,3.08,2024-04-07,21,Sunday,1
99,2024-08-14 07:32:00,LinkedIn,Text,Best purchase ever! Highly recommend,Positive,1212,231,7,42712,65339,3.39,2024-08-14,7,Wednesday,1
100,2024-03-19 16:21:00,Facebook,Text,Just received my order,Neutral,207,79,129,7892,80027,5.26,2024-03-19,16,Tuesday,0
101,2024-03-31 14:48:00,Facebook,Link,Love this product! #amazing,Positive,1348,161,37,33322,52280,4.64,2024-03-31,14,Sunday,1
102,2024-01-02 06:25:00,LinkedIn,Image,Superb quality! Very happy,Positive,355,258,74,34934,94225,1.97,2024-01-02,6,Tuesday,1
103,2024-02-15 00:32:00,Twitter,Link,Excellent service! Very satisfied,Positive,786,169,131,23245,48242,4.67,2024-02-15,0,Thursday,1
104,2024-09-07 09:42:00,Twitter,Text,Terrible customer service,Negative,29,138,35,9695,47105,2.08,2024-09-07,9,Saturday,-1
105,2024-03-20 23:22:00,Facebook,Image,Great quality! Will buy again,Positive,1182,89,26,49567,85559,2.62,2024-03-20,23,Wednesday,1
106,2024-06-01 09:36:00,TikTok,Image,Horrible experience. Never again,Negative,616,159,93,6040,6223,14.37,2024-06-01,9,Saturday,-1
107,2024-06-08 16:23:00,Twitter,Video,Terrible experience. Very disappointed,Negative,213,192,205,36787,97914,1.66,2024-06-08,16,Saturday,-1
108,2024-05-30 00:03:00,LinkedIn,Video,Product as described,Neutral,181,90,27,47126,54533,0.63,2024-05-30,0,Thursday,0
109,2024-01-10 23:50:00,LinkedIn,Text,Best purchase ever! Highly recommend,Positive,657,210,79,2648,98377,35.73,2024-01-10,23,Wednesday,1
110,2024-08-11 07:57:00,TikTok,Link,Great quality! Will buy again,Positive,1365,196,89,14342,98329,11.5,2024-08-11,7,Sunday,1
111,2024-07-11 12:29:00,TikTok,Image,Fantastic experience! Thank you,Positive,139,196,96,39800,22257,1.08,2024-07-11,12,Thursday,1
112,2024-08-11 15:04:00,LinkedIn,Image,Terrible customer service,Negative,929,286,92,38482,72385,3.4,2024-08-11,15,Sunday,-1
113,2024-02-22 07:40:00,Twitter,Video,Bad service. Would not recommend,Negative,448,106,39,24533,8861,2.42,2024-02-22,7,Thursday,-1
114,2024-03-14 22:14:00,Facebook,Text,Love this product! #amazing,Positive,1141,152,78,24397,82543,5.62,2024-03-14,22,Thursday,1
115,2024-02-19 01:38:00,TikTok,Text,Love this product! #amazing,Positive,520,317,16,38846,36637,2.2,2024-02-19,1,Monday,1
116,2024-06-02 08:17:00,Twitter,Text,Product as described,Neutral,961,205,67,37709,42374,3.27,2024-06-02,8,Sunday,0
117,2024-06-09 19:58:00,Twitter,Text,Best purchase ever! Highly recommend,Positive,297,33,60,28293,33698,1.38,2024-06-09,19,Sunday,1
118,2024-08-19 08:27:00,LinkedIn,Link,Outstanding service! Five stars,Positive,1149,269,99,35408,35782,4.28,2024-08-19,8,Monday,1
119,2024-01-14 06:15:00,Instagram,Text,Excellent service! Very satisfied,Positive,483,59,100,10895,52970,5.89,2024-01-14,6,Sunday,1
120,2024-08-08 18:30:00,LinkedIn,Video,Great quality! Will buy again,Positive,417,380,78,47362,41509,1.85,2024-08-08,18,Thursday,1
121,2024-07-12 08:44:00,Twitter,Image,Superb quality! Very happy,Positive,334,143,86,19879,88146,2.83,2024-07-12,8,Friday,1
122,2024-06-11 05:46:00,TikTok,Link,Bad service. Would not recommend,Negative,31,257,194,13670,54134,3.53,2024-06-11,5,Tuesday,-1
123,2024-07-30 20:23:00,LinkedIn,Image,Superb quality! Very happy,Positive,489,37,4,2432,7336,21.79,2024-07-30,20,Tuesday,1
124,2024-08-31 19:20:00,Facebook,Image,Just received my order,Neutral,62,47,29,12740,32769,1.08,2024-08-31,19,Saturday,0
125,2024-09-30 00:57:00,Facebook,Image,Outstanding service! Five stars,Positive,1431,344,113,28352,78296,6.66,2024-09-30,0,Monday,1
126,2024-02-14 04:51:00,LinkedIn,Text,Fantastic experience! Thank you,Positive,514,57,132,5182,55012,13.57,2024-02-14,4,Wednesday,1
127,2024-08-09 09:05:00,TikTok,Video,Superb quality! Very happy,Positive,1338,326,126,21793,81860,8.21,2024-08-09,9,Friday,1
128,2024-06-14 15:56:00,Facebook,Link,"It's okay, nothing special",Neutral,416,56,140,18058,58317,3.39,2024-06-14,15,Friday,0
129,2024-06-12 15:40:00,Twitter,Text,Disappointed with the product,Negative,14,134,176,23265,75100,1.39,2024-06-12,15,Wednesday,-1
130,2024-02-07 14:07:00,Instagram,Image,Poor quality. Not worth the money,Negative,980,184,36,8505,11022,14.11,2024-02-07,14,Wednesday,-1
131,2024-08-07 01:57:00,TikTok,Text,Outstanding service! Five stars,Positive,1399,124,77,8440,64652,18.96,2024-08-07,1,Wednesday,1
132,2024-10-19 11:27:00,Instagram,Text,Great quality! Will buy again,Positive,768,210,117,46283,35049,2.37,2024-10-19,11,Saturday,1
133,2024-03-07 03:55:00,Facebook,Text,Standard quality,Neutral,400,186,91,3414,41535,19.83,2024-03-07,3,Thursday,0
134,2024-03-11 09:03:00,Instagram,Video,Outstanding service! Five stars,Positive,673,93,140,11469,21284,7.9,2024-03-11,9,Monday,1
135,2024-07-19 03:11:00,Twitter,Image,Love this product! #amazing,Positive,178,115,121,24336,55450,1.7,2024-07-19,3,Friday,1
136,2024-03-10 12:53:00,Twitter,Video,Excellent service! Very satisfied,Positive,1020,106,58,48837,27229,2.42,2024-03-10,12,Sunday,1
137,2024-04-02 20:41:00,LinkedIn,Image,Horrible experience. Never again,Negative,529,9,124,8614,42549,7.69,2024-04-02,20,Tuesday,-1
138,2024-03-10 01:27:00,LinkedIn,Text,Standard quality,Neutral,859,188,118,8175,8394,14.25,2024-03-10,1,Sunday,0
139,2024-06-28 22:45:00,TikTok,Text,Product arrived today,Neutral,935,54,101,43067,79462,2.53,2024-06-28,22,Friday,0
140,2024-05-05 06:15:00,LinkedIn,Video,Fantastic experience! Thank you,Positive,1248,87,44,13666,97107,10.09,2024-05-05,6,Sunday,1
141,2024-06-19 20:08:00,Instagram,Video,Terrible experience. Very disappointed,Negative,909,250,23,29946,56354,3.95,2024-06-19,20,Wednesday,-1
142,2024-03-29 08:47:00,Facebook,Text,Product arrived today,Neutral,848,295,42,15164,43587,7.81,2024-03-29,8,Friday,0
143,2024-06-18 19:29:00,TikTok,Image,Best purchase ever! Highly recommend,Positive,693,256,55,13820,84021,7.26,2024-06-18,19,Tuesday,1
144,2024-01-29 11:48:00,Twitter,Video,Superb quality! Very happy,Positive,375,120,149,33414,52084,1.93,2024-01-29,11,Monday,1
145,2024-03-07 18:02:00,TikTok,Text,Worst purchase ever. Total waste,Negative,400,36,19,12621,77851,3.61,2024-03-07,18,Thursday,-1
146,2024-03-29 14:14:00,LinkedIn,Image,Disappointed with the product,Negative,499,111,121,12548,10479,5.83,2024-03-29,14,Friday,-1
147,2024-06-30 14:14:00,Instagram,Text,Worst purchase ever. Total waste,Negative,997,218,166,12655,22924,10.91,2024-06-30,14,Sunday,-1
148,2024-10-10 04:21:00,Facebook,Video,Terrible experience. Very disappointed,Negative,561,279,120,48484,40933,1.98,2024-10-10,4,Thursday,-1
149,2024-06-15 10:30:00,Instagram,Link,Great quality! Will buy again,Positive,879,31,138,47001,23101,2.23,2024-06-15,10,Saturday,1
150,2024-07-26 01:29:00,Twitter,Text,Love this product! #amazing,Positive,1252,371,94,47104,58180,3.65,2024-07-26,1,Friday,1
151,2024-06-14 23:02:00,Facebook,Text,Superb quality! Very happy,Positive,202,75,128,49746,71916,0.81,2024-06-14,23,Friday,1
152,2024-06-02 03:57:00,Facebook,Link,Fantastic experience! Thank you,Positive,94,85,143,23360,69516,1.38,2024-06-02,3,Sunday,1
153,2024-10-13 09:08:00,Twitter,Image,Disappointed with the product,Negative,229,171,18,39935,87720,1.05,2024-10-13,9,Sunday,-1
154,2024-10-09 23:01:00,Instagram,Text,Product as described,Neutral,282,54,88,39331,88366,1.08,2024-10-09,23,Wednesday,0
155,2024-09-08 06:33:00,Twitter,Link,Love this product! #amazing,Positive,1032,289,74,19876,27911,7.02,2024-09-08,6,Sunday,1
156,2024-06-05 16:49:00,Instagram,Text,Worst purchase ever. Total waste,Negative,58,59,35,10350,2959,1.47,2024-06-05,16,Wednesday,-1
157,2024-06-18 11:22:00,Facebook,Image,Excellent service! Very satisfied,Positive,570,175,64,17834,79627,4.54,2024-06-18,11,Tuesday,1
158,2024-05-23 19:05:00,Twitter,Text,Superb quality! Very happy,Positive,966,187,64,23772,25837,5.12,2024-05-23,19,Thursday,1
159,2024-07-24 16:23:00,TikTok,Text,Product arrived today,Neutral,872,222,81,20008,43403,5.87,2024-07-24,16,Wednesday,0
160,2024-10-11 06:05:00,Instagram,Text,Horrible experience. Never again,Negative,583,13,78,33457,29636,2.01,2024-10-11,6,Friday,-1
161,2024-09-16 09:12:00,Instagram,Video,Amazing product! Exceeded expectations,Positive,1497,243,17,3946,77350,44.53,2024-09-16,9,Monday,1
162,2024-09-12 00:23:00,Twitter,Image,Best purchase ever! Highly recommend,Positive,4,279,126,19351,46204,2.11,2024-09-12,0,Thursday,1
163,2024-04-05 03:24:00,LinkedIn,Text,Worst purchase ever. Total waste,Negative,401,128,28,48881,58662,1.14,2024-04-05,3,Friday,-1
164,2024-10-12 09:31:00,Instagram,Image,Terrible experience. Very disappointed,Negative,947,16,8,9690,46208,10.02,2024-10-12,9,Saturday,-1
165,2024-02-05 12:47:00,LinkedIn,Video,Horrible experience. Never again,Negative,409,5,70,9410,90912,5.14,2024-02-05,12,Monday,-1
166,2024-06-27 22:30:00,Facebook,Link,Disappointed with the product,Negative,889,204,46,24405,17002,4.67,2024-06-27,22,Thursday,-1
167,2024-04-07 19:40:00,Twitter,Video,Amazing product! Exceeded expectations,Positive,1249,182,94,41305,48321,3.69,2024-04-07,19,Sunday,1
168,2024-02-08 04:44:00,Instagram,Text,Best purchase ever! Highly recommend,Positive,373,321,56,9948,78115,7.54,2024-02-08,4,Thursday,1
169,2024-01-01 12:26:00,TikTok,Image,Disappointed with the product,Negative,949,255,51,2305,58671,54.45,2024-01-01,12,Monday,-1
170,2024-09-20 05:44:00,Facebook,Image,Average experience,Neutral,368,223,88,24151,36422,2.81,2024-09-20,5,Friday,0
171,2024-08-14 03:32:00,Facebook,Image,Superb quality! Very happy,Positive,1006,239,110,45345,24540,2.99,2024-08-14,3,Wednesday,1
172,2024-09-20 10:02:00,TikTok,Text,Best purchase ever! Highly recommend,Positive,1221,370,61,5038,70841,32.79,2024-09-20,10,Friday,1
173,2024-09-22 05:26:00,Facebook,Image,Horrible experience. Never again,Negative,641,251,177,5985,92883,17.86,2024-09-22,5,Sunday,-1
174,2024-03-07 22:47:00,Twitter,Video,Outstanding service! Five stars,Positive,1048,54,77,45937,73906,2.57,2024-03-07,22,Thursday,1
175,2024-06-04 14:14:00,LinkedIn,Video,Superb quality! Very happy,Positive,852,306,122,30654,53265,4.18,2024-06-04,14,Tuesday,1
176,2024-02-24 03:30:00,TikTok,Image,Amazing product! Exceeded expectations,Positive,1066,85,42,28307,32693,4.21,2024-02-24,3,Saturday,1
177,2024-06-13 09:18:00,Instagram,Image,Fantastic experience! Thank you,Positive,1368,148,128,2964,74308,55.47,2024-06-13,9,Thursday,1
178,2024-06-22 18:47:00,LinkedIn,Image,Fantastic experience! Thank you,Positive,1428,286,144,13442,8163,13.82,2024-06-22,18,Saturday,1
179,2024-04-30 02:33:00,LinkedIn,Text,Best purchase ever! Highly recommend,Positive,897,237,125,9284,90500,13.56,2024-04-30,2,Tuesday,1
180,2024-10-03 09:23:00,Twitter,Video,Testing this product,Neutral,490,275,6,32099,8199,2.4,2024-10-03,9,Thursday,0
181,2024-01-14 06:31:00,LinkedIn,Link,Disappointed with the product,Negative,414,48,39,16683,94493,3.0,2024-01-14,6,Sunday,-1
182,2024-09-29 06:23:00,LinkedIn,Text,Superb quality! Very happy,Positive,1296,273,9,40413,69585,3.9,2024-09-29,6,Sunday,1
183,2024-05-04 08:14:00,Facebook,Text,Best purchase ever! Highly recommend,Positive,687,384,16,21088,39054,5.15,2024-05-04,8,Saturday,1
184,2024-04-27 21:48:00,LinkedIn,Image,Bad service. Would not recommend,Negative,265,271,156,32255,94200,2.15,2024-04-27,21,Saturday,-1
185,2024-07-31 14:55:00,Instagram,Text,Terrible experience. Very disappointed,Negative,275,50,207,1574,82138,33.8,2024-07-31,14,Wednesday,-1
186,2024-04-18 06:29:00,Twitter,Image,Amazing product! Exceeded expectations,Positive,1219,345,114,28733,33591,5.84,2024-04-18,6,Thursday,1
187,2024-03-27 03:08:00,Facebook,Image,Amazing product! Exceeded expectations,Positive,27,170,81,14796,69593,1.88,2024-03-27,3,Wednesday,1
188,2024-06-24 06:39:00,Instagram,Image,Terrible customer service,Negative,140,15,149,23034,56334,1.32,2024-06-24,6,Monday,-1
189,2024-02-23 05:40:00,TikTok,Image,Product arrived today,Neutral,729,116,125,8911,26594,10.89,2024-02-23,5,Friday,0
190,2024-08-04 12:06:00,LinkedIn,Image,Great quality! Will buy again,Positive,664,331,29,12049,18712,8.5,2024-08-04,12,Sunday,1
191,2024-05-13 18:08:00,TikTok,Text,Superb quality! Very happy,Positive,570,165,64,8369,9635,9.55,2024-05-13,18,Monday,1
192,2024-08-23 13:28:00,TikTok,Link,Fantastic experience! Thank you,Positive,1128,39,60,9886,74710,12.41,2024-08-23,13,Friday,1
193,2024-04-21 21:42:00,Twitter,Text,Terrible customer service,Negative,794,91,186,25740,23941,4.16,2024-04-21,21,Sunday,-1
194,2024-03-03 07:38:00,LinkedIn,Video,Fantastic experience! Thank you,Positive,1312,248,85,20655,62790,7.96,2024-03-03,7,Sunday,1
